A,B,C
1116,1.9696316016,-1255589.85
1453,-636.87883242,44893.781
2395,73351483116.68,-41971099790775.0
3259,7423582473153.5,3.0
1284,667926918578.0,-324326976565.0
6177,9273579552601.21,987526.9862353
9572,-932.4486,72.5
8617,8.7432033062735,-361720.786
1898,-72690239.0,4.12014233051687
5588,-31013293.9690022,877794740266322.0
623,-9663208733.77,834.22
3559,7948822.55236,-25.4998
8341,1978194.54891513,904815878.61
6760,-32320.67,6.245
3668,-76705831372.792,53.447
6162,-0.55037,83587636.1544
9051,210.6451125,85578465813013.0
7651,9160476563.0,378237360.0
2616,-7667.2,2607574.7103
6744,-99219361058.0,807724319.61967
8779,458745397676008.0,3254423536026.6
2286,601962497.195,746682306.712834
4302,1069.0,4295878255250.6
3840,1492.1376,-747191009696864.0
9668,-23802.6,789589402078.39
7620,9047539.9797123,-989878574685.84
1509,-9338750491876.9,-1073448318080.0
6052,13174590.28,-4765041.8088
3452,116776361.42094,-68024052.83
1703,-42.7,-188257572304.31
1368,751740193756395.0,-904014417.5
9543,-9448801832081.0,-337.155
8362,-162.89080601,-46.12552
2878,-212.15116015044,30.51208911008
2985,3670408443814.0,-37.0
4531,-691493.59,7119.410584373
3684,-186127.69,-2976.1
6016,1.3448,-175469.23816
7867,-4191049130.0,-75.68977472332
4703,223.63,269776816919.0
5320,74165314335.775,831.25
5637,6882370152469.6,-626354.67672
7736,-1469.289049,-8.5769538352
32,472787181525.4,843.497
4508,-4341181954.9563,743.663427
3164,-45571.31,-4386.8594
2944,-43.0,981612983949752.0
9043,-7942303906017.0,-334948094.981
8044,-573.81,-2493180542.572
9903,8500995243306.0,-22665696991701.5
8825,5.3727475387,3395.6588
8100,749683764768859.0,-1632378308729.26
8559,8697462.82019,909.85921355
5832,2.50664004854,536526.7329589
3058,26943439756496.4,-97050.78
8042,-879122465174.9,-81236307.8
8662,17816938216.0,70.0
8827,66361.0,5872359857.0
752,-8066065.93,4995867.13
5495,-7190896.957719,62984250048189.0
1151,-4493.16798131,16041124726.0
9220,-30362500278821.4,-56189292.9724
3989,765882736129.714,3499280437221.0
5124,-86987.114673,-9437891.88
5579,-80359.5620505,564485003705058.0
2106,77071424850731.0,106985348510.0
828,-9126548844.0,-7.47
584,580831237.7,-72.828
7541,6805625743.245,16385.17437118
2365,69185883.1,23829672016509.0
3366,737549071691518.0,52.13600228
8964,4550154810585.9,-5942.230488
1218,535472764408283.0,411713.0
1577,5077883.494,-66653214366444.7
9199,-86.76746998,-781230180.16
9291,6.550182395501,-6209590.905991
2189,-6537778509256.7,-932878.76617884
4889,84791.0,-597171.66579
1518,-324051336.0,81399695.6
4466,9929249.9957,-8251572522049.1
2137,-84140796442525.9,-9363117.0
1861,-523079026783517.0,2366587124.3
7882,79147237299.7,-67947595533.8
1908,722.2195,-8.24256613969239
5164,3451893.64491495,-97519785958927.0
7149,-7872093075269.5,52389485725.69
2856,-26918933164.98,13.8741
9903,-6932381043955.0,59244730633.0
1824,-601577377.3,0.52592
5832,831258983209.8,4782232497388.0
7222,12849541.6,-3803922.5
3012,-9362241905563.0,982287275553.47
3900,-86656294781020.0,72.7025497747328
1171,-1.47401,8695372995157.0
9722,8775787588.14154,-1478.0
4767,509.3939,40289435139.3554
3790,837227612103187.0,1116131253.5664
7765,191629904125342.0,868879793154041.0
4635,949.74342571,45.24825803
3223,2996565962.72,521409545863187.0
1961,-672638562896511.0,-3869916.2080582
784,-2705.7218543921,-35433462446545.0
5279,64336917.84161,-16104092.33
7426,-8347889241643.0,-18743153151721.4
9634,92300058928497.6,-1.5428
3418,684687004.30641,-206091386858977.0
5026,-47839443.83,90179838.2951
5146,-718499974.41033,-69963572234302.0
8198,703760240266.131,2045002945.627
541,-1585048650862.0,-875452227.0
7630,-6.1122517705916,-39621012812849.0
9885,545.643283483,-855.6505
9609,292.7823288,-512967366634.5
2305,-8260040201.1018,-855862799.377854
9684,-4355.8,694204.50785
5568,-18426605.8778313,-5805863248613.2
2257,-131725807.8,-71048.8802523962
1779,-626540.9911118,-464183660.14849
1232,-615604389184316.0,13.0
1530,-559186998.743599,487026.85158906
4160,-13439661.95,58327882662.7
5104,16012217252.46,-375776561065.94
9682,90355.2061989,-3921565049907.0
9520,-9860872636258.43,20889479861705.0
3630,-70638102402.7,-112051508541.9
6615,-451532413940.6,-81826.23184
3014,594117.42357188,-79295940.0
835,59.840163688836,-16913139.97936
8758,-88607119929963.9,44222009.346
5655,-9107.83028,108891437686.8
2147,-4.8089,-26012339001.6
6852,200485203821.42,-7575383443857.0
6580,-964185287304.8,-724.968446
8650,-78355117742.745,8579235.162975
434,-339616566083545.0,-593105256.2
6567,52.727,963721340.0
2854,-68810291064.41,26602.82
9329,-52278872977.6293,550493899.37009
4426,-3.26120201758747,-36129775.0
2551,-326758159940033.0,9011194889149.69
1776,47027891.0,-4.9926
3049,-2465659.2108454,-11190364467.5
2889,-711849434.312162,96765134706430.2
878,7.36483,-579.35558313066
1831,66435.0,9954.4295420279
5377,-1608667960.83,48306.86733061
38,6025841930.5394,-83.0
8133,88278544.15,9213578.0
6066,-20798.4019,-73231.587
7091,108411693368.0,596320678300.2
7835,2772171035258.8,-81429452818.9
3782,-335661669027.0,927246788.8
4045,6263.6966875,2595.3012
5837,30811.8704,7.180738
1567,8165546.750456,7874788301.2
3027,9290.5640021,-24751406576086.8
6701,-65.324258473871,-91.0
1749,80633653638414.0,-3029549912.1
7642,7.3140830532032,-1004381.135445
5078,-27817.33357,48950259.6775259
4975,-1909205744576.5,5433382.8820368
8205,-807219249.636089,8426143512.0
3338,-556.210199118452,315.127537099
1638,9210810484.8,-77075345357295.1
6192,-822758476.672862,1701485071.877
4375,4292.80183,-5696.1904643
7075,-133158805731.9,-6827308835.487
6917,563536.718867912,-2.64899758931436
2315,268857785024.0,656.23581889858
1718,556386561675007.0,94314156555192.0
1603,-302589.0,-4571.68756778
4965,13112.5436298,-8257894904678.0
8536,85100675.28346,9.3
1157,-16965413.8,5015211803818.69
4200,-29693040.636553,3.39861963635
6436,72357.9594,-955917857782071.0
241,-29439707.4265,-317323.88
3406,-6.519603525659,1925673.93017
4155,-228216695.65,1638.313
8721,5981999683696.81,56253.85366353
6025,801251584942.44,5436595.9453454
4002,-9289016915.275,-56206611960820.0
2093,93791552.7,-2.96533293241099
940,71612675.0,15867.505870403
3292,8520664.8,69311.0
9457,-7.48,707065453237.0
6015,310150666.1041,-34949096428.0
5712,49.34378952536,-2897576420.4
5756,-446937803533.1,871699011.0
3732,7561876737157.68,-187475.63
4826,-48.7339853603039,-459979046.56
5434,-753628940737.0,33682638.2499
8017,808825472308.18,32457352.86
679,77708.4405922,717539994007816.0
6812,48245949.571,-776591097712129.0
6807,-49780330794.0,-4058505388747.7
6650,-21250.1481,56.34013
3560,-5332805256190.1,-6.968233
8074,-37419.45,705.8
2717,-351222308724463.0,6.3277595990848
559,-49341222.1,-22.6413875055857
5854,-386.42102,-3.86096
5989,72199823444.1,3157.69214
4006,38164294656285.0,-6980.0
7080,-9353061839.57,97.8
5281,696313.5,6339.0
1081,34.883203964,-927919733.624
2254,8.2155653862133,-8497670.2
4336,-177534722.9,-67376542766006.0
6127,-162260303930819.0,-224745303.4706
919,-140169901951719.0,468597096802.0
3322,-7598972756.111,-164996156.0
9145,705054.9,967.5
1924,-892162.962278,52292.1
9453,93159695497.4467,-24319.70398365
7470,34.108628360464,7.4168140524
702,863453.960851093,-9225782886.7482
6305,390563989202.5,8972480.94660829
3328,-664.6,56250626549.0
2420,476919969775011.0,-26.245996587173
470,-952888.228558284,1.7282
5059,94447442337215.0,50075568406.0
4335,88682238.0,666625.7
9535,6255265.83602289,-6.423258
2163,-40421.488,51057745.2245
5653,94499068.38,78570999915265.0
3478,-35241111.3,9036443439836.52
6633,-70967833727933.4,521414537.35
9192,-80.543,-723239391935695.0
9511,3900754.82,255833697930.3
109,20339731620364.6,1519355440.175
7110,-984270984217.858,-9206593372.998
498,-6.79109257701703,-65553690.967
4651,13.91265169683,-5237403.99
1991,-6271913.0,602454586324.58
379,1116227063.1,-582.289847094
7615,-189468656.0,-805143335.8
1517,-510231584280.64,-4588766667.3509
2083,-10601747777868.0,14730068348.8
3116,26995.0,-2883108122417.7
1574,-2169.3,-5781069626952.6
6677,-333089917262.0,25.9433
7942,293332749.5,62.569397559255
9235,-9580192.6953,-57169420563.1871
7602,811930.964,-399661897821315.0
2168,-13368.686191897,35686.0
5348,-8416355067029.0,110571.9106
1198,92.5259483464,-47854.0
5584,-969764213.48566,-787571.0
2169,-7.275534477,7.7
2582,7169567514557.92,-97964.492691
1211,1503396119.2941,376949780937544.0
9215,61619348.93614,-2487.44
9314,2.5,-58012.1803673459
499,5735177318.9,-26428812525.42
2824,754922034114.899,36170015.93785
1549,-7131865.0,-5514.92688216
7490,748993.69674,-97.40538
1875,960754.917,57192.25964
6139,-709353.303012,78.81282
5728,6005423897416.3,285127313.666
4849,-301.28106,252.106146464
7197,-9952644978635.6,2780944.5977
6412,15013152558.0,-693878199494.7
8482,-224036.0,-445198.671
782,-55197132.14,-40576365497.7
824,13991.4,-42.74635724
8386,-220718710172078.0,-51965.8948303
4407,-13501569761752.0,-2035122941.54
2177,6606637.9,179333871348338.0
1707,-341923828840.9,22793604186.4
9703,-74610.3326,-50318.7526
5813,150.15,-2914554.9
160,45500622535461.0,4.0
6207,6733725765.0,364805.6
5618,62.8,4669307203.5
6914,-9.493153431,0.676504
5231,-28.0,57.6812544
7110,36591101.84133,-543578988.232767
3858,392088594153.0,-9258173.92155
770,6016842.64058,-58514160395.1
3309,-8.846,-57890.4495
2127,49873084546.7472,5.99
2507,126757.0,-325603.513757
5678,9142228038.0,66272564036.75
8513,-198299.7486048,-768561355.514483
7,57713576455.9,-88.8690799091
6709,15552852420.688,-97123138611.0
3209,8655.479468532,-986.843464873
5684,-530061784.9275,230370193127006.0
5407,-412382.50779,-56010827.7907119
16,-366871644.0,44.74098
464,705364642739.46,79436800794.0
1250,518828098.546,8686573887181.3
1545,79012.41690539,-975194559257740.0
4287,-9610.936,2199.24401094
9190,8391198917096.2,-1474353823.32
6103,-46288418.0,8.4
7219,-782278.23951574,75631.6303
8412,-786.223458302,-90029.2017421
3942,-4.373903209,-42585823279707.3
644,763308917.73721,147196125.66
6058,260489.16182051,-73024.188
621,-907869.71131758,-8767972.1202
7104,5187684.410474,-70378.0
4290,-4027.51382,5417749844140.54
1803,879.5808,72120608325780.9
2985,-11367.3,-5492.4264434
726,320127540609602.0,2376613550.0
6682,-38463.346558,-528.9713
6154,43940970.0,2247911.7542
2559,-400081.4946722,-6723737.25
5982,52.8402286352,681.0
3113,7574388.432,-3561263015.2
1446,746.0,5018167.2143155
7317,-57267470707730.6,-6524145.58859
1904,7631.4556999,-642738838000.0
4761,-752543106.626974,-94430520447590.5
6074,108.8933272,272396.7627
514,-121.656267,6.84188994
3247,-60572.85533412,20340514865.0
1955,-917197544125831.0,824727745453614.0
6522,-27839.0,6.85
3545,-49699695.12803,90664194012090.0
9983,-1576095576.7,-2801.22016731
6051,-93229883.10672,-642.961907769
4306,-114204103718256.0,-1509.322716322
3762,-40355.8,-58247618149.658
3774,-439.166722805268,-9749995.0
3573,-536555747174304.0,413.1477588853
2449,-10200711780435.0,-21133882532.11
2943,9588688267.63,-27410434702683.8
9917,-7338.0,3175897434.10987
3530,-660194.0,527.198
7795,-2821286869132.8,-16306239.5
8390,-552768.18,-58.60928
5467,41600044.7,48642990998.0
263,2454018737.3587,96211147268.7891
786,263323473454.0,-63.689200936903
6721,66361495131727.1,8230723487019.73
9258,407630806493244.0,977.13126412779
5803,2.968894,35806.64046
5344,209.796442025,-750.58653
8460,470206.65,9938876.2
7422,785.876291135,44.241
4184,351998908.63,3257.627
4876,-2.2469,674055585.0
6958,7.475717,79953566.77
311,-47.7474371,-8752857.57837766
2761,-178941828.0,-875451981.845
7221,940.9052738,21309286.3
5760,-17759319955258.0,-78295208839126.8
2135,-73.9410609,35708453.393
5080,19017.76,-12749327432.978
1211,67174001964265.0,-95397941856367.0
7554,-69158578971125.7,4584.2670878866
4714,-8071080941136.0,-786.15204207
9965,283614218353191.0,-8502807.979
1176,4547.14896943,-4700685791.8
3634,-411605426586652.0,2149004521.0
7458,-0.671653831,-6.967705657
8802,316281596211313.0,-15105652992.56
2932,-1573.275168,-1853733825277.0
3798,-717419.7100756,-38782002.473
4276,-41284.0,-581133.2
1119,-919266921.7712,-3667640.3525
6338,-1.1636,-7401030.488
5546,-6335.6236179118,-22145613.894
3806,-8773434997.75,24.2704382
4329,-4436388.1043319,-65.37606903758
4482,17858136687.0,-6215239.7159425
4373,81023493734610.0,-96642119.51992
6858,5553893.0,-5.3
6136,10078.6965,719.99240807579
6423,-67278321767688.0,26333162.0
943,3516.0,46884536700712.4
7487,-8643428107.2717,70442.823
6306,-9365237.13594,-56289305.300762
6914,-3.7575,3659610767.95793
8197,385480943844.99,-5229696.1632617
8084,-933066147.685,-910.106744
6243,-17158.6022,-25492388399572.0
7171,-8520057.1,3658.8
6609,60810329394076.0,-3.0
7009,-3.7678274,-56746779.200231
2293,292735.99,-505202.956773045
7843,747797429817.0,680971280.3159
9815,-959235109.6,-1439776125.0
9084,70244071071.0,1356900.6061
9696,66004.805,-14491.491599732
2684,8.9993,21315155753439.9
928,3.9,2334302363.7
1736,-3102.5,-702703113133613.0
1447,833.632185995433,-567730208403163.0
7855,607548157965703.0,361217588231544.0
1941,15053039341.887,9710760043088.5
2039,-63654182857587.7,-2.116164870637
4326,22911123.701983,-47060009830.0
1403,6692163985193.4,-131631450909421.0
1185,-281007063.44658,352324798.29
1832,497328.92231015,1014579.9395578
6846,-289046832189.17,-58973.9
5418,-67311003040480.0,-973649993970318.0
1492,3339.9865709,746887330728149.0
1203,3460.57149,-856410.749967
8390,740313395.74,-1832447.95347253
6785,-60237636963.9433,8691854539306.49
7868,3223104075.0,-4069808956713.0
7296,-14343078643106.0,44103674.18
4332,-497.5398764,-192289645924.19
8754,-1460980545588.3,-16187736.53646
8494,469861092.518,45.578459060021
8519,-94.9979232,3984479.1224
4467,53280144775.9,17845763064068.0
2497,-26614908269.1,-1351543.77
8583,-56.726641,8689438192499.0
9646,-38637699323.7,297190895274809.0
5371,-23897.28666784,-8748558.5
3421,8.9020626986,433671533464186.0
9277,-874448433.0,24.9
8391,-359.51048861,-85432465526.26
8347,34.58959903,32104399274.2
9449,339.590972,65852.0
6662,42.5405566899,-92204439.707
3802,-4136907560.9,-4.9272425312797
9206,144477.5746434,-28362.999293651
0,17435243626.2,-8731408539660.0
4068,3377542.4,88584929380.0
7780,-771157.2,9.358
5789,58.0,-466789800775908.0
7865,6625662.994,6812750816676.22
2428,1444607174577.9,-942299624913.206
2730,2.208930464,-8359062177788.7
2762,56206394.899,-9331955.19
4644,-2884044.51926,57161.997408383
6387,83526.8716,15.48
8903,5809.55711593,-65017077.6049
6795,99813.55135,-8986.20823968887
4498,-1105698.3,4.8416028677
1585,8165657445177.0,3.852
8915,-8.2,-389467194.4684
9309,-7118244.914627,-696149033699924.0
2318,7890205.0,-8452957.1044776
3852,-221011502.0,-398386.62234326
4123,54575029482476.0,-4522208.22904
1952,99.2,825387.7687
9067,6183162227.19075,966408293835.41
1740,51.0,-31.66009149
5912,9.83495,76323556.52
2032,-8252089848112.1,607.0
1540,391957954872737.0,904871638.83
8589,-0.2505013945,954939166787.4
8054,173813321563206.0,-8511.234896
2945,1324.0,245346126.0
4181,389301878146.301,-90397.464
6371,27876.63130593,94600445521.77
9269,-7201.7629666,-126760631.7
4831,571294631991.0,181.1841
9652,-974404560000.4,-8901969543698.4
4155,-24.3,6032252.87566579
3952,-598415512912.326,-78769270.0
9608,883059443.59,3969.1
59,-444.40152,5.7
8802,-10936146665.2,-592875584.59
8904,-49767221183.0,-11499803887776.1
4056,-162614.69,-4.59795843
8686,7950576.7609,4034983542.4961
236,-31209823255833.9,-4902240981.31583
6894,-62199619882.1,67882003.991609
1965,1423051.86,3453795819472.0
4764,-434877771.0,-310.481397
1344,378382884136358.0,267947412867908.0
553,-444525786296.2,-5403989524281.0
5086,74.0,387054.55
9829,-821731.8353286,7372.253308518
3951,-228924.782,62.6485
5837,134883259567645.0,23037707255372.0
6098,5.509,523489839011665.0
9912,2496903831.5,-64.789984
8525,4127839.734,346460030.43
6417,-5803204831906.0,693300630.343
3628,9666576185.9,-606689.4974
4559,-2274.3,-55297861205803.0
473,6558832433004.0,168762.0
2792,51395121666.7816,-32839299086996.4
7065,15970340.4887,88665.156332508
3318,-456043996983438.0,4732996981.58
58,-1870934708017.27,-3159578197.4631
3454,-9851025797.0,82890.58428742
4877,80455002325934.1,44.51
7251,-21.95,5795419983572.0
5840,-7730991399.22,955504483593.53
2950,902042.116,655271413.181635
6601,-330691974.38,46238847996770.0
4055,-99039672.5315,6740.96618402
1187,-868970.517,-4710264220.4924
3900,4.60868924670788,-470133827295.7
1057,70656974050.6,294838291.652
3290,-44.823873,77145572.4677721
4870,556118.0,69187339700500.0
7785,-5893386926.634,2430435182465.0
9046,602156861.1407,-62494603686.309
4455,-845.53239959404,42867072560.42
6428,261039843.63,-181.509
2036,9.1,779057150720410.0
537,-8489007487507.1,-8906939546.0
4689,-34647697408536.0,-10695279.27188
8469,452658.9526349,51177969375534.1
2198,-7.0,225680864086190.0
5228,744195482.77716,-6705.0
2596,642.66457,6100450741.6
845,-510176146.194,925260.3383
4398,-556137682.0,-13.463
7282,-6.2300137900336,-8553019709.0
8240,6466740454.476,5168196981.55
6157,-29.136,99763283.29
1561,-243571076057.4,-436164807.9
7837,-32.7184396716,1587.544216
4438,-91.451,4235467055.4
6380,95292773.86583,-4401143253.67
8450,-551213163764.724,-18496213415907.0
395,457.8228,-1813036356104.0
2812,-6866165255758.1,-8530.16
7187,68990030847.0,-167580071.8
2551,-3861845867106.0,1381962321622.0
2754,0.761753865358,-985577841.7
4705,-29225598745752.6,-768999023039617.0
6474,-4648140252088.4,-2642255518306.49
4764,61796078033670.0,884139604.0
7977,-91846011328241.0,-55.430874634299
758,-37221535196.0,72095416167888.8
3239,7.64921818662,7249952558.4305
9210,80765043448303.0,4523928233484.72
8509,2954.357372,-594931165901.77
1175,1854.830152,8.9109107816
7808,99.23,-23.0
7112,-759030168.7726,-0.1366474895
4542,-0.48080748113301,87613989342.0
8252,-35.35303,-72995956965983.0
7799,34612943553.5526,7684637748.66
1574,-5370934420526.0,9405159166954.84
7668,-927907283.35049,-10652126.7
4059,-11530093705040.0,-7746.991
